ISO,Year,GDP_USD,Population
ABW,2000,2545966267.78226,90588.0
AFE,2000,489817237961.848,406156661.0
AFG,2000,6206547590.07403,20130327.0
AFW,2000,326672771738.384,274968446.0
AGO,2000,35182758019.6959,16194869.0
ALB,2000,6153077235.62289,3089027.0
AND,2000,2240767147.05822,65685.0
ARB,2000,1406974817817.34,286548096.0
ARE,2000,198921610821.864,3493575.0
ARG,2000,395646066535.875,37213984.0
ARM,2000,3959424772.65728,3221100.0
ATG,2000,1195677311.61138,74912.0
AUS,2000,874926744105.928,19028802.0
AUT,2000,309014800203.266,8011566.0
AZE,2000,12110978466.342,8048600.0
BDI,2000,1709130260.41104,6470194.0
BEL,2000,367797580320.048,10251250.0
BEN,2000,6219354272.65514,7221619.0
BFA,2000,5107828181.20084,11925546.0
BGD,2000,83492876905.7611,134544304.0
BGR,2000,30376118589.1044,8170172.0
BHR,2000,16199663949.4689,637582.0
BHS,2000,10500261525.9051,323835.0
BIH,2000,10679552177.5993,4159771.0
BLR,2000,26100310412.7168,9979610.0
BLZ,2000,1363800371.11261,240799.0
BMU,2000,6739895068.97791,61550.0
BOL,2000,17334777888.1262,8606326.0
BRA,2000,1186418964121.03,174018282.0
BRB,2000,5640486570.73121,262063.0
BRN,2000,12244033143.1515,326424.0
BTN,2000,751822818.964787,596863.0
BWA,2000,8491986059.02571,1677382.0
CAF,2000,1675850364.88825,3833416.0
CAN,2000,1163199675162.51,30685730.0
CEB,2000,808029643139.989,108447824.0
CHE,2000,529837998914.444,7184250.0
CHL,2000,131243743563.397,15503635.0
CHN,2000,2825096197799.54,1262645000.0
CIV,2000,30406072178.2268,17699004.0
CMR,2000,17168567484.5749,14912631.0
COD,2000,17148631280.919,50507442.0
COG,2000,6482377234.59307,3151345.0
COL,2000,157016818928.93,39089934.0
COM,2000,616936089.242142,536080.0
CPV,2000,923550525.289887,453317.0
CRI,2000,30425018574.4757,3937739.0
CSS,2000,41583406437.6042,3956229.0
CUB,2000,45683563278.5995,11109109.0
CUW,2000,2881155232.956,133860.0
CYP,2000,15534986805.8031,947667.0
CZE,2000,128638858401.092,10255063.0
DEU,2000,2885963533943.47,82211508.0
DMA,2000,471328095.603734,68511.0
DNK,2000,263066798869.213,5339616.0
DOM,2000,35393522990.4108,8584190.0
DZA,2000,109811551032.426,30903893.0
EAP,2000,3878843756271.9,1819011507.0
EAR,2000,5417544791319.72,2509431470.0
EAS,2000,10366526973201.2,2050149617.0
ECA,2000,706021315258.475,218486598.0
ECS,2000,15990314229316.8,865392479.0
ECU,2000,50165491738.8835,12689206.0
EGY,2000,179683172290.026,73083284.0
EMU,2000,10051632608869.2,325789631.0
ERI,2000,1899038769.45137,2247031.0
ESP,2000,977964704474.031,40567864.0
EST,2000,13979307068.9028,1396985.0
ETH,2000,16684709707.888,67411494.0
EUU,2000,11319869909643.6,429339162.0
FCS,2000,804431242026.564,621080692.0
FIN,2000,196036503503.623,5176209.0
FJI,2000,3330747234.58964,840909.0
FRA,2000,2025858476151.37,60918661.0
FSM,2000,305255189.683569,112044.0
GAB,2000,9689372094.82624,1275572.0
GBR,2000,2314307169243.88,58892514.0
GEO,2000,6365211520.66238,4077131.0
GHA,2000,20074507180.6623,19637087.0
GIN,2000,5176459579.46449,8428832.0
GMB,2000,960226283.311822,1455084.0
GNB,2000,705153195.39567,1234741.0
GNQ,2000,2699948863.55525,703279.0
GRC,2000,194535950663.831,10805808.0
GRD,2000,717463922.03278,107451.0
GRL,2000,1776741578.35367,56185.0
GTM,2000,37033785218.7019,11697592.0
GUY,2000,2875468427.07822,764832.0
HIC,2000,37869377916277.4,1255696330.0
HKG,2000,179510029573.087,6665000.0
HND,2000,11770779974.6587,6577773.0
HPC,2000,327354231483.985,481984327.0
HRV,2000,39679727338.7054,4468302.0
HTI,2000,11150259169.2375,8303151.0
HUN,2000,91691821698.8094,10210971.0
IBD,2000,10953389165622.8,3983328255.0
IBT,2000,11971859016260.3,5116723507.0
IDA,2000,1019618557048.0,1133395252.0
IDB,2000,510314089184.692,394129957.0
IDN,2000,395012382597.556,216077790.0
IDX,2000,509184189446.944,739265295.0
IMN,2000,3501118028.55419,75659.0
IND,2000,800534479623.61,1057922733.0
IRL,2000,162098435201.65,3805174.0
IRN,2000,258056537598.384,66418659.0
IRQ,2000,101916218527.399,24424056.0
ISL,2000,12224638522.2591,281205.0
ISR,2000,184981435200.171,6289000.0
ITA,2000,1856863206512.55,56942108.0
JAM,2000,13553906825.7897,2607826.0
JOR,2000,18380669691.8022,5386945.0
JPN,2000,3986755544463.82,126843000.0
KAZ,2000,66179326672.5077,15501103.0
KEN,2000,36630908098.8264,30642890.0
KGZ,2000,3518703233.18908,4898362.0
KHM,2000,7459479704.67578,12462336.0
KIR,2000,137844779.277017,88613.0
KNA,2000,635237944.035906,45248.0
KOR,2000,835011437852.054,47008111.0
KWT,2000,61264446634.5746,1954709.0
LAC,2000,3046842281848.95,462953688.0
LAO,2000,4981659930.07599,5431212.0
LBN,2000,25798443405.5655,4329340.0
LBR,2000,2210291803.5902,2928117.0
LBY,2000,57579668503.4421,5305021.0
LCA,2000,1459098899.46569,158616.0
LCN,2000,3507688633929.34,520272118.0
LDC,2000,430041751015.121,673630102.0
LIC,2000,220165478205.179,322668237.0
LKA,2000,37755216046.2078,19293054.0
LMC,2000,2183346998486.5,2126559759.0
LMY,2000,10443292205749.0,4814250279.0
LSO,2000,1453365294.1512,2003913.0
LTE,2000,7083079645648.96,2043581322.0
LTU,2000,22342117970.7075,3499536.0
LUX,2000,40369840252.809,436300.0
LVA,2000,15001703493.7099,2367550.0
MAC,2000,13681294587.0131,430600.0
MAR,2000,56160912155.7573,28423435.0
MCO,2000,3909415913.17981,32455.0
MDA,2000,3939281163.91139,2924668.0
MDG,2000,7688842733.27739,16516338.0
MDV,2000,1984591804.63877,282019.0
MEA,2000,1981800733261.7,494850317.0
MEX,2000,945027051117.631,98625552.0
MHL,2000,154176500.0,50706.0
MIC,2000,10228553065706.2,4491582042.0
MKD,2000,6653275727.54115,2026350.0
MLI,2000,7889185607.31589,11559290.0
MLT,2000,6701061697.46334,390087.0
MMR,2000,13523413252.2448,45290841.0
MNA,2000,1074822729338.12,462980522.0
MNE,2000,2656559076.11381,604950.0
MNG,2000,3817248910.66296,2388299.0
MOZ,2000,5210292403.59676,18129653.0
MRT,2000,3409611141.00167,2613441.0
MUS,2000,6817633870.93239,1186873.0
MWI,2000,4736773940.3021,11315942.0
MYS,2000,148271359064.948,22967816.0
NAC,2000,14820887932751.5,312909691.0
NAM,2000,5607973667.33031,1818647.0
NER,2000,4522117708.50312,11509630.0
NGA,2000,179675448843.374,126382494.0
NIC,2000,7324881903.35865,5022633.0
NLD,2000,647616371669.345,15925513.0
NOR,2000,304696827580.115,4490967.0
NPL,2000,13432367221.0195,24546509.0
NRU,2000,61821096.4003501,10168.0
NZL,2000,119024733715.31,3857700.0
OED,2000,36778557769118.3,1202226474.0
OMN,2000,45372727044.5609,2282131.0
OSS,2000,81714916900.7714,9788238.0
PAK,2000,162552194688.572,154879127.0
PAN,2000,20639538974.0522,3010369.0
PER,2000,87409379264.7108,26598331.0
PHL,2000,142796015521.852,79625397.0
PLW,2000,236780563.408324,19178.0
PNG,2000,11016425270.6953,5537064.0
POL,2000,283174187558.032,38258629.0
